tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,store_and_fwd_flag,PULocationID,DOLocationID,fare_amount,tip_amount
01/01/2020 05:28:41 AM,01/01/2020 05:34:01 AM,1,0.88,No,7,7,5.5,0
01/01/2020 05:18:21 AM,01/01/2020 05:18:59 AM,1,0.16,No,148,148,2.5,0
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,4,0.93,No,162,163,6,2
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,1,0.8,No,42,41,5,0
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,1,4.09,No,42,247,14,0
01/01/2020 05:14:34 AM,01/01/2020 05:15:49 AM,1,0.08,No,161,161,3,0
01/01/2020 05:24:37 AM,01/01/2020 05:31:19 AM,1,1.26,No,79,45,6.5,0
01/01/2020 05:41:11 AM,01/01/2020 05:48:14 AM,1,0.3,No,48,48,-6,0
01/01/2020 05:41:11 AM,01/01/2020 05:48:14 AM,1,0.3,No,48,48,6,0
01/01/2020 05:00:46 AM,01/01/2020 05:19:33 AM,1,4,No,161,263,16,0
01/01/2020 05:34:05 AM,01/01/2020 05:51:26 AM,1,9,No,161,138,26,7.18
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,1,0.18,No,79,107,3.5,1.46
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,1,3.73,No,107,263,13,2
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,1,2.87,No,87,54,11.5,0
01/01/2020 05:17:43 AM,01/01/2020 05:21:58 AM,3,0.68,No,158,125,4.5,0
01/01/2020 05:15:23 AM,01/01/2020 05:18:06 AM,1,0.4,No,234,234,4,0
01/01/2020 05:45:27 AM,01/01/2020 05:52:00 AM,1,0.6,No,233,162,6,0
01/01/2020 05:59:37 AM,01/01/2020 06:05:42 AM,1,1.1,No,79,4,6,1.96
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,1,17.35,No,132,17,47.5,9.76
01/01/2020 06:50:04 AM,01/01/2020 06:53:55 AM,1,0.09,No,233,233,4,0
01/01/2020 05:44:55 AM,01/01/2020 05:51:10 AM,2,1.85,No,48,238,7.5,0
01/01/2020 06:53:34 AM,01/01/2020 06:54:17 AM,4,0,No,129,129,0,0
01/01/2020 06:09:09 AM,01/01/2020 06:15:19 AM,1,0.52,No,263,262,5,0
01/01/2020 06:08:41 AM,01/01/2020 06:08:47 AM,1,0,No,140,140,52,0
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,1,0,No,262,75,11.2,0
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,1,0.69,No,24,238,4.5,0
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,1,3,No,238,229,11.5,0
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,1,2.08,No,141,137,9.5,2.66
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,6,2.34,No,143,162,11,0
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,6,4,No,161,74,14,2
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,1,0,No,140,233,14.03,0
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,2,0.68,No,75,75,6,0
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,1,0,No,170,10,36.2,0
01/01/2020 05:59:08 AM,01/01/2020 06:00:41 AM,6,0.16,No,137,137,3,0
01/01/2020 06:48:39 AM,01/01/2020 06:49:33 AM,1,0,No,107,107,2.5,0
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,1,0,No,26,26,2.5,0
01/01/2020 06:41:49 AM,01/01/2020 06:43:56 AM,3,0.12,No,229,229,3.5,0
01/01/2020 06:04:30 AM,01/01/2020 06:08:36 AM,1,0.99,No,140,229,5.5,0
01/01/2020 06:10:41 AM,01/01/2020 06:16:31 AM,1,0.65,No,229,162,5,0
01/01/2020 06:53:18 AM,01/01/2020 06:54:23 AM,1,0.15,No,162,170,3,0
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,1,0,No,170,61,26.2,0
01/01/2020 06:50:19 AM,01/01/2020 07:01:27 AM,1,2.63,No,49,61,10.5,0
01/01/2020 06:16:49 AM,01/01/2020 06:39:30 AM,1,5.37,No,141,119,19,0
01/01/2020 06:18:56 AM,01/01/2020 06:20:47 AM,1,0.42,No,125,231,3.5,0
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,1,0,No,141,157,22.2,0
01/01/2020 06:08:14 AM,01/01/2020 06:10:14 AM,2,0.24,No,42,42,3.5,0.8
01/01/2020 06:35:35 AM,01/01/2020 06:44:55 AM,2,1.49,No,158,211,8,2.95
01/01/2020 06:26:20 AM,01/01/2020 06:46:16 AM,1,5.78,No,141,144,20,0
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,1,0,No,232,42,28.2,0
01/01/2020 06:50:41 AM,01/01/2020 07:34:05 AM,4,16.38,No,68,259,50,0
01/01/2020 06:52:47 AM,01/01/2020 07:17:25 AM,1,10.85,No,236,18,31.5,0
